arg:  ['/var/spool/slurm/d/job09049/slurm_script', 'Height', 'ContrastiveLearning_Model/saved_models/files99/NewRunCorrected/masked_encoder_64_16_128_3_0.05']
/home/dsk2v/PointCloud/BodyScan/FourthDraftWithPartialMetaData/DataLoader/../../../Data/3dbsf_txt/
/home/dsk2v/PointCloud/Data/3dbsf_txt
The minimum number of lines among all files: 49493
The maximum number of lines among all files: 63914
/home/dsk2v/PointCloud/BodyScan/FourthDraftWithPartialMetaData/DataLoader/../../../Data/3dbsf_txt/
['0024rs22514', 'PSYPOOLS1701015', '1010 f14 01 009', '0021rs22514', 'PSYPOOLS1701021', 'PSYPOOLS1701024', '0016rs22514', '0023rs22514', '0036rs22514', '1010 f14 01 015', 'PSYPOOLS1701013', '0019rs22514', '006rs22514', '0022rs22514', 'PSYPOOLS1701035', '0038rs22514', 'PSYPOOLS1701004', '1010 f14 01 012', 'PSYPOOLS1701022', 'PSYPOOL51701003', '0031rs22514', '0025rs22514', '1010 f14 01 008', 'PSYPOOLS1701027', '0037rs22514', 'PSYPOOLS1701049', '007rs22514', '1010 f14 01 011', 'PSYPOOLS1701087', 'PSYPOOLS1701026', '1010 f14 01 020', '004rs22514', '0011rs22514', 'PSYPOOLS1701002', '0027rs22514', '1010 f14 01 019', 'PSYPOOLS1701018', '0012rs22514', 'PSYPOOLS1701012', '0028rs22514', 'PSYPOOLS1701031', 'PSYPOOLS1701009', '0034rs22514', 'PSYPOOLS1701055', 'PSYPOOLS1701029', 'PSYPOOLS1701036', 'PSYPOOLS1701028', '003rs22514', '1010 f14 01 006', 'PSYPOOLS17', 'PSYPOOLS1701011', '0026rs22514', '1010 f14 01 016', '0035rs22514', '0032rs22514', '002rs22514', '1010 f14 01 013', 'PSYPOOLS1701008', 'PSYPOOLS1701014', '0015rs22514', '1010 f14 01 010', 'PSYPOOLS1701054', 'PSYPOOLS1701006', '0040rs22514', '0042rs22514', 'PSYPOOLS1701017', 'PSYPOOLS1701005', '1010 f14 01 005', '0041rs22514', 'psy pool s17 01 001', '0030rs22514', 'PSYPOOLS1701037', '0014rs22514', '1010 f14 01 001', '1010 f14 01 002', 'PSYPOOLS1701030', '005rs22514', '0020rs22514', 'PSYPOOLS1701016', '0018rs22514', 'PSYPOOLS1701025', '0013rs22514', '0010rs22514', '1010 f14 01 017', '1010 f14 01 004', '0017rs22514', '008rs22514', '0039rs22514', '1010 f14 01 018', '009rs22514', '1010 f14 01 014', '1010 f14 01 003', '1010 f14 01 007', 'PSYPOOLS1701023', 'PSYPOOLS1701048', '0029rs22514']
Cuda available :-  True

device cuda 

[10670 30922 45866 ... 43788  5835 18840]
[5.9 5.3 5.6 6.2 5.2 5.9 6.5 5.8 5.7 5.5 5.3 5.6 5.1 5.4 6.1 5.5 5.2 5.4
 5.2 5.5 6.  5.8 5.6 5.4 6.  5.2 6.  5.9 5.9 5.3 5.6 5.3 5.6 5.2 5.7 5.1
 5.1 5.6 5.2 5.9 6.  5.7 5.3 5.6 6.4 5.2 5.3 5.2 5.6 5.1]
*************** Using pretrained ***************

Epoch [1/250], Progress: 1/13, Train Loss: 1.4495
Epoch [1/250], Progress: 2/13, Train Loss: 2.2112
Epoch [1/250], Progress: 3/13, Train Loss: 0.4910
Epoch [1/250], Progress: 4/13, Train Loss: 0.6591
Epoch [1/250], Progress: 5/13, Train Loss: 0.7785
Epoch [1/250], Progress: 6/13, Train Loss: 0.5455
Epoch [1/250], Progress: 7/13, Train Loss: 4.8783
Epoch [1/250], Progress: 8/13, Train Loss: 1.5416
Epoch [1/250], Progress: 9/13, Train Loss: 0.4949
Epoch [1/250], Progress: 10/13, Train Loss: 1.3637
Epoch [1/250], Progress: 11/13, Train Loss: 1.9440
Epoch [1/250], Progress: 12/13, Train Loss: 1.6134
Epoch [1/250], Progress: 13/13, Train Loss: 1.1446
Epoch [1/250], Train Loss: 1.4704, Validation Loss: 0.8602

Epoch [2/250], Progress: 1/13, Train Loss: 0.3921
Epoch [2/250], Progress: 2/13, Train Loss: 0.6465
Epoch [2/250], Progress: 3/13, Train Loss: 1.5928
Epoch [2/250], Progress: 4/13, Train Loss: 0.7363
Epoch [2/250], Progress: 5/13, Train Loss: 0.4108
Epoch [2/250], Progress: 6/13, Train Loss: 1.9167
Epoch [2/250], Progress: 7/13, Train Loss: 1.3860
Epoch [2/250], Progress: 8/13, Train Loss: 1.3051
Epoch [2/250], Progress: 9/13, Train Loss: 1.1741
Epoch [2/250], Progress: 10/13, Train Loss: 1.7079
Epoch [2/250], Progress: 11/13, Train Loss: 0.2974
Epoch [2/250], Progress: 12/13, Train Loss: 0.5720
Epoch [2/250], Progress: 13/13, Train Loss: 0.2563
Epoch [2/250], Train Loss: 0.9534, Validation Loss: 0.5952

Epoch [3/250], Progress: 1/13, Train Loss: 0.6686
Epoch [3/250], Progress: 2/13, Train Loss: 0.8325
Epoch [3/250], Progress: 3/13, Train Loss: 1.0634
Epoch [3/250], Progress: 4/13, Train Loss: 0.9813
Epoch [3/250], Progress: 5/13, Train Loss: 0.3469
Epoch [3/250], Progress: 6/13, Train Loss: 0.9738
Epoch [3/250], Progress: 7/13, Train Loss: 0.5515
Epoch [3/250], Progress: 8/13, Train Loss: 0.6129
Epoch [3/250], Progress: 9/13, Train Loss: 0.7234
Epoch [3/250], Progress: 10/13, Train Loss: 0.9977
Epoch [3/250], Progress: 11/13, Train Loss: 0.7696
Epoch [3/250], Progress: 12/13, Train Loss: 0.3556
Epoch [3/250], Progress: 13/13, Train Loss: 0.6885
Epoch [3/250], Train Loss: 0.7358, Validation Loss: 0.4795

Epoch [4/250], Progress: 1/13, Train Loss: 0.7623
Epoch [4/250], Progress: 2/13, Train Loss: 0.8765
Epoch [4/250], Progress: 3/13, Train Loss: 1.2693
Epoch [4/250], Progress: 4/13, Train Loss: 0.3580
Epoch [4/250], Progress: 5/13, Train Loss: 0.2217
Epoch [4/250], Progress: 6/13, Train Loss: 0.2248
Epoch [4/250], Progress: 7/13, Train Loss: 0.2354
Epoch [4/250], Progress: 8/13, Train Loss: 0.1072
Epoch [4/250], Progress: 9/13, Train Loss: 0.2233
Epoch [4/250], Progress: 10/13, Train Loss: 0.4741
Epoch [4/250], Progress: 11/13, Train Loss: 0.1924
Epoch [4/250], Progress: 12/13, Train Loss: 0.8624
Epoch [4/250], Progress: 13/13, Train Loss: 0.0899
Epoch [4/250], Train Loss: 0.4536, Validation Loss: 0.4390

Epoch [5/250], Progress: 1/13, Train Loss: 0.3176
Epoch [5/250], Progress: 2/13, Train Loss: 0.6901
Epoch [5/250], Progress: 3/13, Train Loss: 0.1601
Epoch [5/250], Progress: 4/13, Train Loss: 0.0774
Epoch [5/250], Progress: 5/13, Train Loss: 0.4669
Epoch [5/250], Progress: 6/13, Train Loss: 0.5461
Epoch [5/250], Progress: 7/13, Train Loss: 0.6328
Epoch [5/250], Progress: 8/13, Train Loss: 0.0399
Epoch [5/250], Progress: 9/13, Train Loss: 1.4320
Epoch [5/250], Progress: 10/13, Train Loss: 0.1809
